English understanding,Shell script
Run Python script to print environment variables,/usr/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Clear the terminal screen,clear
Deactivate Python virtual environment,deactivate
Clear the terminal screen,clear
Activate Python virtual environment venvKhojpal,source venvKhojpal/bin/activate
Clear the terminal screen,clear
Pull Redis Docker image,docker pull redis
Run Redis Docker container,docker run --name some-redis -d redis
Install redis Python package,pip install redis
Clear the terminal screen,clear
Run Postgres Docker container,docker run --name some-postgres -e POSTGRES_PASSWORD=password -d postgres
Clear the terminal screen,clear
Pull Postgres Docker image,docker pull postgres
Run Postgres Docker container with volume and port,docker run --name postgres-container -v local_psql_data:/var/lib/postgresql/data -p 54320:5432 -e POSTGRES_PASSWORD=my_password -d postgres\

Show open files on port 54320,sudo lsof -i:54320
Show open files on port 5432,sudo lsof -i:5432
Install psycopg2-binary Python package,pip install psycopg2-binary
Clear the terminal screen,clear
Run Python script to print environment variables,/usr/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Install fastapi Python package,pip install fastapi
Install uvicorn Python package,pip install uvicorn
Clear the terminal screen,clear
Start Python interpreter,python
Clear the terminal screen,clear
Exit the shell,exit
Install logger Python package,pip install logger
Clear the terminal screen,clear
Create Python virtual environment venvStorage,python -m venv venvStorage
Run Python script to print environment variables,/usr/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Clear the terminal screen,clear
Activate Python virtual environment venvStorage,source venvStorage/bin/activate
Clear the terminal screen,clear
Install uvicorn and fastapi Python packages,pip install uvicorn fastapi
Clear the terminal screen,clear
Run Python script to print environment variables,/opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Install psycopg2-binary Python package,pip install psycopg2-binary
Clear the terminal screen,clear
Install cryptography Python package,pip install cryptography
Pull pgadmin4 Docker image,docker pull pgadmin4
Pull dpage/pgadmin4 Docker image,docker pull dpage/pgadmin4
Run pgadmin4 Docker container,docker run -p 80:80 \
    -e 'PGADMIN_DEFAULT_EMAIL=user@domain.com' \
    -e 'PGADMIN_DEFAULT_PASSWORD=test' \
    -d dpage/pgadmin4
Clear the terminal screen,clear
Deactivate the conda environment,conda deactivate
List files in the current directory,ls
Activate Python virtual environment venvStorage,source venvStorage/bin/activate
Clear the terminal screen,clear
Display contents of Professional_Photo.jpg,cat ~/Professional_Photo.jpg
Clear the terminal screen,clear
Display contents of Professional_Photo.jpg,cat ~/Professional_Photo.jpg
Clear the terminal screen,clear
Display contents of Professional_Photo.jpg,cat ~/Professional_Photo.jpg
Clear the terminal screen,clear
Activate Python virtual environment venvStorage,source venvStorage/bin/activate
Deactivate the conda environment,conda deactivate
Clear the terminal screen,clear
Install requests Python package,pip install requests
Upgrade pip,python -m pip install --upgrade pip
Clear the terminal screen,clear
Show hostname,hostname
Install uvicorn Python package (typo),pip isntall uvicorn
Install uvicorn and fastapi Python packages,pip install uvicorn fastapi
Clear the terminal screen,clear
Run Python script to print environment variables,/opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Clear the terminal screen,clear
Deactivate the conda environment,conda deactivate
Install p2pd Python package,pip install p2pd
Clear the terminal screen,clear
Initialize a new git repository,git init
Clear the terminal screen,clear
Show git status,gst
Add all files to git,git add .
Clear the terminal screen,clear
Commit changes with message 'Initial Commit',git commit -m "Initial Commit"
Clear the terminal screen,clear
Push changes to git,git push
Add remote origin for git,git remote add origin https://github.com/sohanpatil1/sharedStorage.git\
git branch -M main\ngit push -u origin main
Clear the terminal screen,clear
Change directory to storage,cd Documents/VSWorkspace/storage
List files in the current directory,ls
Clear the terminal screen,clear
Push changes to git,git push
Add remote origin for git,git remote add origin https://github.com/sohanpatil1/sharedStorage.git\
git branch -M main\ngit push -u origin main
Run Python script to print environment variables,/opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Install pystun Python package,pip install pystun
Clear the terminal screen,clear
Run pystun,pystun
Clear the terminal screen,clear
List files in the current directory,ls
Run server.py,python server.py
Change directory to storage,cd Documents/VSWorkspace/storage
Run client.py,python client.py
Start HTTP server on port 3000,python -m http.server 3000
Show IP configuration,ipconfig
Show network interfaces,ifconfig
Show network interfaces containing '10',ifconfig | grep 10
Show network interfaces containing 'v6',ifconfig | grep v6
Show network interfaces containing 'IPV6' (case-insensitive),ifconfig | grep -i IPV6
Show network interfaces containing 'inet6' (case-insensitive),ifconfig | grep -i inet6
Clear the terminal screen,clear
Run server.py,python server.py
Typo for clear,cler
Clear the terminal screen,clear
Run server.py,python server.py
Typo for clear,cleaer
Clear the terminal screen,clear
Run server.py,python server.py
Clear the terminal screen,clear
Run client.py,python client.py
Start HTTP server on port 3000,python -m http.server 3000
Clear the terminal screen,clear
Run client.py,python client.py
Ping IPv6 address,ping -6 ipv6.google.com
Ping IPv6 address using ping6,ping6 ipv6.google.com
Clear the terminal screen,clear
Ping IPv6 address,ping ipv6.google.com
Trace route to google.com,traceroute google.com
Show traceroute help,traceroute help
Show traceroute help,traceroute --help
Trace route using protocol 6,traceroute -P 6
Clear the terminal screen,ipconfig
Show network interfaces,ifconfig
Clear the terminal screen,ifconfig
Clear the terminal screen,ipconfig
Clear the terminal screen,ifconfig
Clear the terminal screen,ip
Show IP command help,ip command
Show network links,ip link show
Trace route to 2001:4860:4860::8888 on port 53,sudo traceroute -nTp 53 2001:4860:4860::8888
Install nmap using brew,brew install nmap
Clear the terminal screen,clear
Run nmap,nmap
Run nmap with -r option,nmap -r
Run nmap with -r and -iR options,nmap -r -iR
Run nmap with -r and -iR 100 options,nmap -r -iR 100
Clear the terminal screen,clear
Run nmap on all ports for target,nmap -p- <target>\

Run nmap on all ports,nmap -p\

Clear the terminal screen,clear
Start HTTP server on port 3000,python -m http.server 3000
Show network interfaces,ifconfig
Clear the terminal screen,ifconfig
Get IP address for en1,ipconfig getifaddr en1
Get IP address for en1,ifconfig getifaddr en1
Clear the terminal screen,ifconfig | grep 10
Start HTTP server on port 3000,python -m http.server 3000
Change directory to storage,cd Documents/VSWorkspace/storage
Start HTTP server on port 3000,python -m http.server 3000
Show IP configuration,ipconfig
Show network interfaces,ifconfig
Whois lookup for saralstocks.com,whois saralstocks.com
Clear the terminal screen,clear
Whois lookup for google.com,whois google.com
Clear the terminal screen,clear
Whois lookup for viveksho.me,whois viveksho.me
Run Python script to print environment variables,/opt/homebrew/bin/python3 /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/printEnvVariablesToFile.py /Users/sohanpatil/.vscode/extensions/ms-python.python-2024.0.1/pythonFiles/deactivate/zsh/envVars.txt
Change directory to storage,cd Documents/VSWorkspace/storage
List files in the current directory,ls
Clear the terminal screen,clear
Pull latest changes from git,git pull
Clear the terminal screen,clear
Uninstall pystun Python package,pip uninstall pystun
Clear the terminal screen,clear
List installed Python packages,pip list
Clear the terminal screen,clear
Pull latest changes from git,git pull
Clear the terminal screen,clear
Pull latest changes from git,git pull
Clear the terminal screen,clear
Deactivate the conda environment,conda deactivate
Remove NewProfessional_Photo.jpg from git cache,git rm --cached NewProfessional_Photo.jpg
Clear the terminal screen,clear
Show git status,git status
Clear the terminal screen,clear
Show git diff for client.,git diff client.
List files in the current directory,ls
Clear the terminal screen,clear
List files in the current directory,ls
Open client.py in vi,vi client.py
Print working directory,pwd
Show git diff for client.py,git diff client.py
Start bash shell,bash
Remove design.excalidraw.png from git cache,git rm --cached design.excalidraw.png
Clear the terminal screen,clear
Show git branch,git branch
Clear the terminal screen,clear
Show path to python,/Users/sohanpatil/Documents/VSWorkspace/storage/venvStorage/bin/python
Clear the terminal screen,clear
Open .zshrc in VS Code,code ~/.zshrc
Source .zshrc,source ~/.zshrc
Clear the terminal screen,clear
Exit the shell,exit
Create .hushlogin file,touch ~/.hushlogin
Exit the shell,exit
Change directory to storage,cd Documents/VSWorkspace/storage
Clear the terminal screen,clear
List files in the current directory,ls
Change directory to src,cd src
Change directory to testing,cd ../testing
Run server.py,python server.py
Clear the terminal screen,clear
Run client1.py,python client1.py
Clear the terminal screen,clear
Install debugpy Python package,pip install debugpy
Show importlib-metadata,importlib-metadata
Install importlib-metadata Python package,pip install importlib-metadata
Clear the terminal screen,clear
Install importlib-metadata Python package,pip install importlib-metadata
Deactivate the conda environment,conda deactivate
Clear the terminal screen,clear
List files in the current directory,ls
Activate Python virtual environment venvStorage,source venvStorage/bin/activate
Clear the terminal screen,clear
Install importlib-metadata Python package,pip install importlib-metadata
Install debugpy Python package,pip install debugpy
Clear the terminal screen,clear
Run client1.py,python client1.py
Clear the terminal screen,clear
Run client1.py,python client1.py
Clear the terminal screen,clear
Run server.py,python server.py
Clear the terminal screen,clear
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Show open files on port 8090,lsof -i:8090
Run receiver.py,python receiver.py
Show open files on port 8090,lsof -i:8090
Run receiver.py,python receiver.py
Show open files on port 8090,lsof -i:8090
Run sender.py,python sender.py
Clear the terminal screen,clear
Show open files on port 8090,sudo lsof -i:8090
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Show open files on port 8090,sudo lsof -i:8090
Clear the terminal screen,clear
Show open files on port 8090,sudo lsof -i:8090
Clear the terminal screen,clear
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Show git status,gst
Clear the terminal screen,clear
Change directory to testing,cd testing
Add server.py, receiver.py, and sender.py to git,git add server.py receiver.py sender.py
Commit changes with message 'Sending message from sender to receiver without issues.',git commit -m "Sending message from sender to receiver without issues."
Push changes to git,git push
Clear the terminal screen,clear
Move server.py to src directory,git mv server.py ../src
Move receiver.py to src directory,git mv receiver.py ../src
Move sender.py to src directory,git mv sender.py ../src
List files in the current directory,ls
Change directory up one level,cd ..
List files in the current directory,ls
Clear the terminal screen,clear
Change directory to src,cd src
Show current directory,s
List files in the current directory,ls
Run server.py,python server.py
Clear the terminal screen,clear
Change directory up one level,cd ..
Change directory to src,cd src
Clear the terminal screen,clear
Run receiver.py,python receiver.py
Clear the terminal screen,clear
Run server.py,python server.py
Clear the terminal screen,clear
Run receiver.py,python receiver.py
Change directory to src,s,ls
Change directory to storage/src,cd Documents/VSWorkspace/storage/src
Clear the terminal screen,clear
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Clear the terminal screen,python sender.py
Clear the terminal screen,py server.py
Export py as alias for python,export py='python'
Run py,py
Run receiver.py,python receiver.py
Clear the terminal screen,clear
Run server.py,python server.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run temp.py,python temp.py
Change directory to storage/src,cd Documents/VSWorkspace/storage/src
Clear the terminal screen,clear
Run sender.py,python sender.py
Run temp.py,python temp.py
Clear the terminal screen,python server.py
Run temp.py,python temp.py
Clear the terminal screen,python server.py
Open ~/.zshrc in vim,vim ~/.zshrc
Source ~/.zshrc,source ~/.zshrc
Open ~/.zshrc in vim,vim ~/.zshrc
Source ~/.zshrc,source ~/.zshrc
Clear the terminal screen,clear
Reset the terminal,reset
Source ~/.zshrc,source ~/.zshrc
Clear the terminal screen,clear
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,clear
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Clear the terminal screen,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
Run receiver.py,python receiver.py
Run sender.py,python sender.py
