English understanding,Shell script
Move all MP4 videos from ~/Desktop to ~/Media,mv ~/Desktop/*.mp4 ~/Media/
Move all MP4 videos from ~/Desktop to ~/NAS/Camera,mv ~/Desktop/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/Desktop to ~/NAS/Sorted,mv ~/Desktop/*.mp4 ~/NAS/Sorted/
Move all MP4 videos from ~/Desktop to ~/NAS/Temp,mv ~/Desktop/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/Media to ~/NAS,mv ~/Media/*.mp4 ~/NAS/
Move all MP4 videos from ~/Media to ~/Downloads,mv ~/Media/*.mp4 ~/Downloads/
Move all MP4 videos from ~/Media to ~/Desktop,mv ~/Media/*.mp4 ~/Desktop/
Move all MP4 videos from ~/Media to ~/NAS/Camera,mv ~/Media/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/Media to ~/NAS/Sorted,mv ~/Media/*.mp4 ~/NAS/Sorted/
Move all MP4 videos from ~/Media to ~/NAS/Temp,mv ~/Media/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/NAS/Camera to ~/NAS,mv ~/NAS/Camera/*.mp4 ~/NAS/
Move all MP4 videos from ~/NAS/Camera to ~/Downloads,mv ~/NAS/Camera/*.mp4 ~/Downloads/
Move all MP4 videos from ~/NAS/Camera to ~/Desktop,mv ~/NAS/Camera/*.mp4 ~/Desktop/
Move all MP4 videos from ~/NAS/Camera to ~/Media,mv ~/NAS/Camera/*.mp4 ~/Media/
Move all MP4 videos from ~/NAS/Camera to ~/NAS/Sorted,mv ~/NAS/Camera/*.mp4 ~/NAS/Sorted/
Move all MP4 videos from ~/NAS/Camera to ~/NAS/Temp,mv ~/NAS/Camera/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/NAS/Sorted to ~/NAS,mv ~/NAS/Sorted/*.mp4 ~/NAS/
Move all MP4 videos from ~/NAS/Sorted to ~/Downloads,mv ~/NAS/Sorted/*.mp4 ~/Downloads/
Move all MP4 videos from ~/NAS/Sorted to ~/Desktop,mv ~/NAS/Sorted/*.mp4 ~/Desktop/
Move all MP4 videos from ~/NAS/Sorted to ~/Media,mv ~/NAS/Sorted/*.mp4 ~/Media/
Move all MP4 videos from ~/NAS/Sorted to ~/NAS/Camera,mv ~/NAS/Sorted/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/NAS/Sorted to ~/NAS/Temp,mv ~/NAS/Sorted/*.mp4 ~/NAS/Temp/
Move all MP4 videos from ~/NAS/Temp to ~/NAS,mv ~/NAS/Temp/*.mp4 ~/NAS/
Move all MP4 videos from ~/NAS/Temp to ~/Downloads,mv ~/NAS/Temp/*.mp4 ~/Downloads/
Move all MP4 videos from ~/NAS/Temp to ~/Desktop,mv ~/NAS/Temp/*.mp4 ~/Desktop/
Move all MP4 videos from ~/NAS/Temp to ~/Media,mv ~/NAS/Temp/*.mp4 ~/Media/
Move all MP4 videos from ~/NAS/Temp to ~/NAS/Camera,mv ~/NAS/Temp/*.mp4 ~/NAS/Camera/
Move all MP4 videos from ~/NAS/Temp to ~/NAS/Sorted,mv ~/NAS/Temp/*.mp4 ~/NAS/Sorted/
Move all MOV videos from ~/NAS to ~/Downloads,mv ~/NAS/*.mov ~/Downloads/
Move all MOV videos from ~/NAS to ~/Desktop,mv ~/NAS/*.mov ~/Desktop/
Move all MOV videos from ~/NAS to ~/Media,mv ~/NAS/*.mov ~/Media/
Move all MOV videos from ~/NAS to ~/NAS/Camera,mv ~/NAS/*.mov ~/NAS/Camera/
Move all MOV videos from ~/NAS to ~/NAS/Sorted,mv ~/NAS/*.mov ~/NAS/Sorted/
Move all MOV videos from ~/NAS to ~/NAS/Temp,mv ~/NAS/*.mov ~/NAS/Temp/
Move all MOV videos from ~/Downloads to ~/NAS,mv ~/Downloads/*.mov ~/NAS/
Move all MOV videos from ~/Downloads to ~/Desktop,mv ~/Downloads/*.mov ~/Desktop/
Move all MOV videos from ~/Downloads to ~/Media,mv ~/Downloads/*.mov ~/Media/
Move all MOV videos from ~/Downloads to ~/NAS/Camera,mv ~/Downloads/*.mov ~/NAS/Camera/
Move all MOV videos from ~/Downloads to ~/NAS/Sorted,mv ~/Downloads/*.mov ~/NAS/Sorted/
Move all MOV videos from ~/Downloads to ~/NAS/Temp,mv ~/Downloads/*.mov ~/NAS/Temp/
Move all MOV videos from ~/Desktop to ~/NAS,mv ~/Desktop/*.mov ~/NAS/
Move all MOV videos from ~/Desktop to ~/Downloads,mv ~/Desktop/*.mov ~/Downloads/
Move all MOV videos from ~/Desktop to ~/Media,mv ~/Desktop/*.mov ~/Media/
Move all MOV videos from ~/Desktop to ~/NAS/Camera,mv ~/Desktop/*.mov ~/NAS/Camera/
Move all MOV videos from ~/Desktop to ~/NAS/Sorted,mv ~/Desktop/*.mov ~/NAS/Sorted/
Move all MOV videos from ~/Desktop to ~/NAS/Temp,mv ~/Desktop/*.mov ~/NAS/Temp/
Move all MOV videos from ~/Media to ~/NAS,mv ~/Media/*.mov ~/NAS/
Move all MOV videos from ~/Media to ~/Downloads,mv ~/Media/*.mov ~/Downloads/
Move all MOV videos from ~/Media to ~/Desktop,mv ~/Media/*.mov ~/Desktop/
Move all MOV videos from ~/Media to ~/NAS/Camera,mv ~/Media/*.mov ~/NAS/Camera/
Move all MOV videos from ~/Media to ~/NAS/Sorted,mv ~/Media/*.mov ~/NAS/Sorted/
Move all MOV videos from ~/Media to ~/NAS/Temp,mv ~/Media/*.mov ~/NAS/Temp/
Move all MOV videos from ~/NAS/Camera to ~/NAS,mv ~/NAS/Camera/*.mov ~/NAS/
Move all MOV videos from ~/NAS/Camera to ~/Downloads,mv ~/NAS/Camera/*.mov ~/Downloads/
Move all MOV videos from ~/NAS/Camera to ~/Desktop,mv ~/NAS/Camera/*.mov ~/Desktop/
Move all MOV videos from ~/NAS/Camera to ~/Media,mv ~/NAS/Camera/*.mov ~/Media/
Move all MOV videos from ~/NAS/Camera to ~/NAS/Sorted,mv ~/NAS/Camera/*.mov ~/NAS/Sorted/
Move all MOV videos from ~/NAS/Camera to ~/NAS/Temp,mv ~/NAS/Camera/*.mov ~/NAS/Temp/
Move all MOV videos from ~/NAS/Sorted to ~/NAS,mv ~/NAS/Sorted/*.mov ~/NAS/
Move all MOV videos from ~/NAS/Sorted to ~/Downloads,mv ~/NAS/Sorted/*.mov ~/Downloads/
Move all MOV videos from ~/NAS/Sorted to ~/Desktop,mv ~/NAS/Sorted/*.mov ~/Desktop/
Move all MOV videos from ~/NAS/Sorted to ~/Media,mv ~/NAS/Sorted/*.mov ~/Media/
Move all MOV videos from ~/NAS/Sorted to ~/NAS/Camera,mv ~/NAS/Sorted/*.mov ~/NAS/Camera/
Move all MOV videos from ~/NAS/Sorted to ~/NAS/Temp,mv ~/NAS/Sorted/*.mov ~/NAS/Temp/
Move all MOV videos from ~/NAS/Temp to ~/NAS,mv ~/NAS/Temp/*.mov ~/NAS/
Move all MOV videos from ~/NAS/Temp to ~/Downloads,mv ~/NAS/Temp/*.mov ~/Downloads/
Move all MOV videos from ~/NAS/Temp to ~/Desktop,mv ~/NAS/Temp/*.mov ~/Desktop/
Move all MOV videos from ~/NAS/Temp to ~/Media,mv ~/NAS/Temp/*.mov ~/Media/
Move all MOV videos from ~/NAS/Temp to ~/NAS/Camera,mv ~/NAS/Temp/*.mov ~/NAS/Camera/
Move all MOV videos from ~/NAS/Temp to ~/NAS/Sorted,mv ~/NAS/Temp/*.mov ~/NAS/Sorted/
Move all MP4 files from march 2022 to 2022/march/,"mkdir -p 2022/march && find . -type f -iname ""*.mp4"" -newermt ""2022-03-01"" ! -newermt ""2022-04-01"" -exec mv {} 2022/march/ \;"
Move all MOV files from march 2022 to 2022/march/,"mkdir -p 2022/march && find . -type f -iname ""*.mov"" -newermt ""2022-03-01"" ! -newermt ""2022-04-01"" -exec mv {} 2022/march/ \;"
Move all JPG files from april 2022 to 2022/april/,"mkdir -p 2022/april && find . -type f -iname ""*.jpg"" -newermt ""2022-04-01"" ! -newermt ""2022-05-01"" -exec mv {} 2022/april/ \;"
Move all JPEG files from april 2022 to 2022/april/,"mkdir -p 2022/april && find . -type f -iname ""*.jpeg"" -newermt ""2022-04-01"" ! -newermt ""2022-05-01"" -exec mv {} 2022/april/ \;"
Move all PNG files from april 2022 to 2022/april/,"mkdir -p 2022/april && find . -type f -iname ""*.png"" -newermt ""2022-04-01"" ! -newermt ""2022-05-01"" -exec mv {} 2022/april/ \;"
Move all MP4 files from april 2022 to 2022/april/,"mkdir -p 2022/april && find . -type f -iname ""*.mp4"" -newermt ""2022-04-01"" ! -newermt ""2022-05-01"" -exec mv {} 2022/april/ \;"
Move all MOV files from april 2022 to 2022/april/,"mkdir -p 2022/april && find . -type f -iname ""*.mov"" -newermt ""2022-04-01"" ! -newermt ""2022-05-01"" -exec mv {} 2022/april/ \;"
Move all JPG files from may 2022 to 2022/may/,"mkdir -p 2022/may && find . -type f -iname ""*.jpg"" -newermt ""2022-05-01"" ! -newermt ""2022-06-01"" -exec mv {} 2022/may/ \;"
Move all JPEG files from may 2022 to 2022/may/,"mkdir -p 2022/may && find . -type f -iname ""*.jpeg"" -newermt ""2022-05-01"" ! -newermt ""2022-06-01"" -exec mv {} 2022/may/ \;"
Move all PNG files from may 2022 to 2022/may/,"mkdir -p 2022/may && find . -type f -iname ""*.png"" -newermt ""2022-05-01"" ! -newermt ""2022-06-01"" -exec mv {} 2022/may/ \;"
Move all MP4 files from may 2022 to 2022/may/,"mkdir -p 2022/may && find . -type f -iname ""*.mp4"" -newermt ""2022-05-01"" ! -newermt ""2022-06-01"" -exec mv {} 2022/may/ \;"
Move all MOV files from may 2022 to 2022/may/,"mkdir -p 2022/may && find . -type f -iname ""*.mov"" -newermt ""2022-05-01"" ! -newermt ""2022-06-01"" -exec mv {} 2022/may/ \;"
Move all JPG files from june 2022 to 2022/june/,"mkdir -p 2022/june && find . -type f -iname ""*.jpg"" -newermt ""2022-06-01"" ! -newermt ""2022-07-01"" -exec mv {} 2022/june/ \;"
Move all JPEG files from june 2022 to 2022/june/,"mkdir -p 2022/june && find . -type f -iname ""*.jpeg"" -newermt ""2022-06-01"" ! -newermt ""2022-07-01"" -exec mv {} 2022/june/ \;"
Move all PNG files from june 2022 to 2022/june/,"mkdir -p 2022/june && find . -type f -iname ""*.png"" -newermt ""2022-06-01"" ! -newermt ""2022-07-01"" -exec mv {} 2022/june/ \;"
Move all MP4 files from june 2022 to 2022/june/,"mkdir -p 2022/june && find . -type f -iname ""*.mp4"" -newermt ""2022-06-01"" ! -newermt ""2022-07-01"" -exec mv {} 2022/june/ \;"
Move all MOV files from june 2022 to 2022/june/,"mkdir -p 2022/june && find . -type f -iname ""*.mov"" -newermt ""2022-06-01"" ! -newermt ""2022-07-01"" -exec mv {} 2022/june/ \;"
Move all JPG files from july 2022 to 2022/july/,"mkdir -p 2022/july && find . -type f -iname ""*.jpg"" -newermt ""2022-07-01"" ! -newermt ""2022-08-01"" -exec mv {} 2022/july/ \;"
Move all JPEG files from july 2022 to 2022/july/,"mkdir -p 2022/july && find . -type f -iname ""*.jpeg"" -newermt ""2022-07-01"" ! -newermt ""2022-08-01"" -exec mv {} 2022/july/ \;"
Move all PNG files from july 2022 to 2022/july/,"mkdir -p 2022/july && find . -type f -iname ""*.png"" -newermt ""2022-07-01"" ! -newermt ""2022-08-01"" -exec mv {} 2022/july/ \;"
Move all MP4 files from july 2022 to 2022/july/,"mkdir -p 2022/july && find . -type f -iname ""*.mp4"" -newermt ""2022-07-01"" ! -newermt ""2022-08-01"" -exec mv {} 2022/july/ \;"
Move all MOV files from july 2022 to 2022/july/,"mkdir -p 2022/july && find . -type f -iname ""*.mov"" -newermt ""2022-07-01"" ! -newermt ""2022-08-01"" -exec mv {} 2022/july/ \;"
Move all JPG files from august 2022 to 2022/august/,"mkdir -p 2022/august && find . -type f -iname ""*.jpg"" -newermt ""2022-08-01"" ! -newermt ""2022-09-01"" -exec mv {} 2022/august/ \;"
Move all JPEG files from august 2022 to 2022/august/,"mkdir -p 2022/august && find . -type f -iname ""*.jpeg"" -newermt ""2022-08-01"" ! -newermt ""2022-09-01"" -exec mv {} 2022/august/ \;"
Move all PNG files from august 2022 to 2022/august/,"mkdir -p 2022/august && find . -type f -iname ""*.png"" -newermt ""2022-08-01"" ! -newermt ""2022-09-01"" -exec mv {} 2022/august/ \;"
Move all MP4 files from august 2022 to 2022/august/,"mkdir -p 2022/august && find . -type f -iname ""*.mp4"" -newermt ""2022-08-01"" ! -newermt ""2022-09-01"" -exec mv {} 2022/august/ \;"
Move all MOV files from august 2022 to 2022/august/,"mkdir -p 2022/august && find . -type f -iname ""*.mov"" -newermt ""2022-08-01"" ! -newermt ""2022-09-01"" -exec mv {} 2022/august/ \;"
Move all JPG files from september 2022 to 2022/september/,"mkdir -p 2022/september && find . -type f -iname ""*.jpg"" -newermt ""2022-09-01"" ! -newermt ""2022-10-01"" -exec mv {} 2022/september/ \;"
Move all JPEG files from september 2022 to 2022/september/,"mkdir -p 2022/september && find . -type f -iname ""*.jpeg"" -newermt ""2022-09-01"" ! -newermt ""2022-10-01"" -exec mv {} 2022/september/ \;"
Move all PNG files from september 2022 to 2022/september/,"mkdir -p 2022/september && find . -type f -iname ""*.png"" -newermt ""2022-09-01"" ! -newermt ""2022-10-01"" -exec mv {} 2022/september/ \;"
Move all MP4 files from september 2022 to 2022/september/,"mkdir -p 2022/september && find . -type f -iname ""*.mp4"" -newermt ""2022-09-01"" ! -newermt ""2022-10-01"" -exec mv {} 2022/september/ \;"
Move all MOV files from september 2022 to 2022/september/,"mkdir -p 2022/september && find . -type f -iname ""*.mov"" -newermt ""2022-09-01"" ! -newermt ""2022-10-01"" -exec mv {} 2022/september/ \;"
Move all JPG files from october 2022 to 2022/october/,"mkdir -p 2022/october && find . -type f -iname ""*.jpg"" -newermt ""2022-10-01"" ! -newermt ""2022-11-01"" -exec mv {} 2022/october/ \;"
Move all JPEG files from october 2022 to 2022/october/,"mkdir -p 2022/october && find . -type f -iname ""*.jpeg"" -newermt ""2022-10-01"" ! -newermt ""2022-11-01"" -exec mv {} 2022/october/ \;"
Move all PNG files from october 2022 to 2022/october/,"mkdir -p 2022/october && find . -type f -iname ""*.png"" -newermt ""2022-10-01"" ! -newermt ""2022-11-01"" -exec mv {} 2022/october/ \;"
Move all MP4 files from october 2022 to 2022/october/,"mkdir -p 2022/october && find . -type f -iname ""*.mp4"" -newermt ""2022-10-01"" ! -newermt ""2022-11-01"" -exec mv {} 2022/october/ \;"
Move all MOV files from october 2022 to 2022/october/,"mkdir -p 2022/october && find . -type f -iname ""*.mov"" -newermt ""2022-10-01"" ! -newermt ""2022-11-01"" -exec mv {} 2022/october/ \;"
Move all JPG files from november 2022 to 2022/november/,"mkdir -p 2022/november && find . -type f -iname ""*.jpg"" -newermt ""2022-11-01"" ! -newermt ""2022-12-01"" -exec mv {} 2022/november/ \;"
Move all JPEG files from november 2022 to 2022/november/,"mkdir -p 2022/november && find . -type f -iname ""*.jpeg"" -newermt ""2022-11-01"" ! -newermt ""2022-12-01"" -exec mv {} 2022/november/ \;"
Move all PNG files from november 2022 to 2022/november/,"mkdir -p 2022/november && find . -type f -iname ""*.png"" -newermt ""2022-11-01"" ! -newermt ""2022-12-01"" -exec mv {} 2022/november/ \;"
Move all MP4 files from november 2022 to 2022/november/,"mkdir -p 2022/november && find . -type f -iname ""*.mp4"" -newermt ""2022-11-01"" ! -newermt ""2022-12-01"" -exec mv {} 2022/november/ \;"
Move all MOV files from november 2022 to 2022/november/,"mkdir -p 2022/november && find . -type f -iname ""*.mov"" -newermt ""2022-11-01"" ! -newermt ""2022-12-01"" -exec mv {} 2022/november/ \;"
Move all JPG files from december 2022 to 2022/december/,"mkdir -p 2022/december && find . -type f -iname ""*.jpg"" -newermt ""2022-12-01"" ! -newermt ""2023-01-01"" -exec mv {} 2022/december/ \;"
Move all JPEG files from december 2022 to 2022/december/,"mkdir -p 2022/december && find . -type f -iname ""*.jpeg"" -newermt ""2022-12-01"" ! -newermt ""2023-01-01"" -exec mv {} 2022/december/ \;"
Move all PNG files from december 2022 to 2022/december/,"mkdir -p 2022/december && find . -type f -iname ""*.png"" -newermt ""2022-12-01"" ! -newermt ""2023-01-01"" -exec mv {} 2022/december/ \;"
Move all MP4 files from december 2022 to 2022/december/,"mkdir -p 2022/december && find . -type f -iname ""*.mp4"" -newermt ""2022-12-01"" ! -newermt ""2023-01-01"" -exec mv {} 2022/december/ \;"
Move all MOV files from december 2022 to 2022/december/,"mkdir -p 2022/december && find . -type f -iname ""*.mov"" -newermt ""2022-12-01"" ! -newermt ""2023-01-01"" -exec mv {} 2022/december/ \;"
Move all JPG files from january 2023 to 2023/january/,"mkdir -p 2023/january && find . -type f -iname ""*.jpg"" -newermt ""2023-01-01"" ! -newermt ""2023-02-01"" -exec mv {} 2023/january/ \;"
Move all JPEG files from january 2023 to 2023/january/,"mkdir -p 2023/january && find . -type f -iname ""*.jpeg"" -newermt ""2023-01-01"" ! -newermt ""2023-02-01"" -exec mv {} 2023/january/ \;"
Move all PNG files from january 2023 to 2023/january/,"mkdir -p 2023/january && find . -type f -iname ""*.png"" -newermt ""2023-01-01"" ! -newermt ""2023-02-01"" -exec mv {} 2023/january/ \;"
Move all MP4 files from january 2023 to 2023/january/,"mkdir -p 2023/january && find . -type f -iname ""*.mp4"" -newermt ""2023-01-01"" ! -newermt ""2023-02-01"" -exec mv {} 2023/january/ \;"
Move all MOV files from january 2023 to 2023/january/,"mkdir -p 2023/january && find . -type f -iname ""*.mov"" -newermt ""2023-01-01"" ! -newermt ""2023-02-01"" -exec mv {} 2023/january/ \;"
Move all JPG files from february 2023 to 2023/february/,"mkdir -p 2023/february && find . -type f -iname ""*.jpg"" -newermt ""2023-02-01"" ! -newermt ""2023-03-01"" -exec mv {} 2023/february/ \;"
Move all JPEG files from february 2023 to 2023/february/,"mkdir -p 2023/february && find . -type f -iname ""*.jpeg"" -newermt ""2023-02-01"" ! -newermt ""2023-03-01"" -exec mv {} 2023/february/ \;"
Move all PNG files from february 2023 to 2023/february/,"mkdir -p 2023/february && find . -type f -iname ""*.png"" -newermt ""2023-02-01"" ! -newermt ""2023-03-01"" -exec mv {} 2023/february/ \;"
Move all MP4 files from february 2023 to 2023/february/,"mkdir -p 2023/february && find . -type f -iname ""*.mp4"" -newermt ""2023-02-01"" ! -newermt ""2023-03-01"" -exec mv {} 2023/february/ \;"
Move all MOV files from february 2023 to 2023/february/,"mkdir -p 2023/february && find . -type f -iname ""*.mov"" -newermt ""2023-02-01"" ! -newermt ""2023-03-01"" -exec mv {} 2023/february/ \;"
Move all JPG files from march 2023 to 2023/march/,"mkdir -p 2023/march && find . -type f -iname ""*.jpg"" -newermt ""2023-03-01"" ! -newermt ""2023-04-01"" -exec mv {} 2023/march/ \;"
Move all JPEG files from march 2023 to 2023/march/,"mkdir -p 2023/march && find . -type f -iname ""*.jpeg"" -newermt ""2023-03-01"" ! -newermt ""2023-04-01"" -exec mv {} 2023/march/ \;"
Move all PNG files from march 2023 to 2023/march/,"mkdir -p 2023/march && find . -type f -iname ""*.png"" -newermt ""2023-03-01"" ! -newermt ""2023-04-01"" -exec mv {} 2023/march/ \;"
Move all MP4 files from march 2023 to 2023/march/,"mkdir -p 2023/march && find . -type f -iname ""*.mp4"" -newermt ""2023-03-01"" ! -newermt ""2023-04-01"" -exec mv {} 2023/march/ \;"
Move all MOV files from march 2023 to 2023/march/,"mkdir -p 2023/march && find . -type f -iname ""*.mov"" -newermt ""2023-03-01"" ! -newermt ""2023-04-01"" -exec mv {} 2023/march/ \;"
Move all JPG files from april 2023 to 2023/april/,"mkdir -p 2023/april && find . -type f -iname ""*.jpg"" -newermt ""2023-04-01"" ! -newermt ""2023-05-01"" -exec mv {} 2023/april/ \;"
Move all JPEG files from april 2023 to 2023/april/,"mkdir -p 2023/april && find . -type f -iname ""*.jpeg"" -newermt ""2023-04-01"" ! -newermt ""2023-05-01"" -exec mv {} 2023/april/ \;"
Move all PNG files from april 2023 to 2023/april/,"mkdir -p 2023/april && find . -type f -iname ""*.png"" -newermt ""2023-04-01"" ! -newermt ""2023-05-01"" -exec mv {} 2023/april/ \;"
Move all MP4 files from april 2023 to 2023/april/,"mkdir -p 2023/april && find . -type f -iname ""*.mp4"" -newermt ""2023-04-01"" ! -newermt ""2023-05-01"" -exec mv {} 2023/april/ \;"
Move all MOV files from april 2023 to 2023/april/,"mkdir -p 2023/april && find . -type f -iname ""*.mov"" -newermt ""2023-04-01"" ! -newermt ""2023-05-01"" -exec mv {} 2023/april/ \;"
Move all JPG files from may 2023 to 2023/may/,"mkdir -p 2023/may && find . -type f -iname ""*.jpg"" -newermt ""2023-05-01"" ! -newermt ""2023-06-01"" -exec mv {} 2023/may/ \;"
Move all JPEG files from may 2023 to 2023/may/,"mkdir -p 2023/may && find . -type f -iname ""*.jpeg"" -newermt ""2023-05-01"" ! -newermt ""2023-06-01"" -exec mv {} 2023/may/ \;"
Move all PNG files from may 2023 to 2023/may/,"mkdir -p 2023/may && find . -type f -iname ""*.png"" -newermt ""2023-05-01"" ! -newermt ""2023-06-01"" -exec mv {} 2023/may/ \;"
Move all MP4 files from may 2023 to 2023/may/,"mkdir -p 2023/may && find . -type f -iname ""*.mp4"" -newermt ""2023-05-01"" ! -newermt ""2023-06-01"" -exec mv {} 2023/may/ \;"
Move all MOV files from may 2023 to 2023/may/,"mkdir -p 2023/may && find . -type f -iname ""*.mov"" -newermt ""2023-05-01"" ! -newermt ""2023-06-01"" -exec mv {} 2023/may/ \;"
Move all JPG files from june 2023 to 2023/june/,"mkdir -p 2023/june && find . -type f -iname ""*.jpg"" -newermt ""2023-06-01"" ! -newermt ""2023-07-01"" -exec mv {} 2023/june/ \;"
Move all JPEG files from june 2023 to 2023/june/,"mkdir -p 2023/june && find . -type f -iname ""*.jpeg"" -newermt ""2023-06-01"" ! -newermt ""2023-07-01"" -exec mv {} 2023/june/ \;"
Move all PNG files from june 2023 to 2023/june/,"mkdir -p 2023/june && find . -type f -iname ""*.png"" -newermt ""2023-06-01"" ! -newermt ""2023-07-01"" -exec mv {} 2023/june/ \;"
Move all MP4 files from june 2023 to 2023/june/,"mkdir -p 2023/june && find . -type f -iname ""*.mp4"" -newermt ""2023-06-01"" ! -newermt ""2023-07-01"" -exec mv {} 2023/june/ \;"
Move all MOV files from june 2023 to 2023/june/,"mkdir -p 2023/june && find . -type f -iname ""*.mov"" -newermt ""2023-06-01"" ! -newermt ""2023-07-01"" -exec mv {} 2023/june/ \;"
Move all JPG files from july 2023 to 2023/july/,"mkdir -p 2023/july && find . -type f -iname ""*.jpg"" -newermt ""2023-07-01"" ! -newermt ""2023-08-01"" -exec mv {} 2023/july/ \;"
Move all JPEG files from july 2023 to 2023/july/,"mkdir -p 2023/july && find . -type f -iname ""*.jpeg"" -newermt ""2023-07-01"" ! -newermt ""2023-08-01"" -exec mv {} 2023/july/ \;"
Move all PNG files from july 2023 to 2023/july/,"mkdir -p 2023/july && find . -type f -iname ""*.png"" -newermt ""2023-07-01"" ! -newermt ""2023-08-01"" -exec mv {} 2023/july/ \;"
Move all MP4 files from july 2023 to 2023/july/,"mkdir -p 2023/july && find . -type f -iname ""*.mp4"" -newermt ""2023-07-01"" ! -newermt ""2023-08-01"" -exec mv {} 2023/july/ \;"
Move all MOV files from july 2023 to 2023/july/,"mkdir -p 2023/july && find . -type f -iname ""*.mov"" -newermt ""2023-07-01"" ! -newermt ""2023-08-01"" -exec mv {} 2023/july/ \;"
Move all JPG files from august 2023 to 2023/august/,"mkdir -p 2023/august && find . -type f -iname ""*.jpg"" -newermt ""2023-08-01"" ! -newermt ""2023-09-01"" -exec mv {} 2023/august/ \;"
Move all JPEG files from august 2023 to 2023/august/,"mkdir -p 2023/august && find . -type f -iname ""*.jpeg"" -newermt ""2023-08-01"" ! -newermt ""2023-09-01"" -exec mv {} 2023/august/ \;"
Move all PNG files from august 2023 to 2023/august/,"mkdir -p 2023/august && find . -type f -iname ""*.png"" -newermt ""2023-08-01"" ! -newermt ""2023-09-01"" -exec mv {} 2023/august/ \;"
Move all MP4 files from august 2023 to 2023/august/,"mkdir -p 2023/august && find . -type f -iname ""*.mp4"" -newermt ""2023-08-01"" ! -newermt ""2023-09-01"" -exec mv {} 2023/august/ \;"
Move all MOV files from august 2023 to 2023/august/,"mkdir -p 2023/august && find . -type f -iname ""*.mov"" -newermt ""2023-08-01"" ! -newermt ""2023-09-01"" -exec mv {} 2023/august/ \;"
Move all JPG files from september 2023 to 2023/september/,"mkdir -p 2023/september && find . -type f -iname ""*.jpg"" -newermt ""2023-09-01"" ! -newermt ""2023-10-01"" -exec mv {} 2023/september/ \;"
Move all JPEG files from september 2023 to 2023/september/,"mkdir -p 2023/september && find . -type f -iname ""*.jpeg"" -newermt ""2023-09-01"" ! -newermt ""2023-10-01"" -exec mv {} 2023/september/ \;"
Move all PNG files from september 2023 to 2023/september/,"mkdir -p 2023/september && find . -type f -iname ""*.png"" -newermt ""2023-09-01"" ! -newermt ""2023-10-01"" -exec mv {} 2023/september/ \;"
Move all MP4 files from september 2023 to 2023/september/,"mkdir -p 2023/september && find . -type f -iname ""*.mp4"" -newermt ""2023-09-01"" ! -newermt ""2023-10-01"" -exec mv {} 2023/september/ \;"
Move all MOV files from september 2023 to 2023/september/,"mkdir -p 2023/september && find . -type f -iname ""*.mov"" -newermt ""2023-09-01"" ! -newermt ""2023-10-01"" -exec mv {} 2023/september/ \;"
Move all JPG files from october 2023 to 2023/october/,"mkdir -p 2023/october && find . -type f -iname ""*.jpg"" -newermt ""2023-10-01"" ! -newermt ""2023-11-01"" -exec mv {} 2023/october/ \;"
Move all JPEG files from october 2023 to 2023/october/,"mkdir -p 2023/october && find . -type f -iname ""*.jpeg"" -newermt ""2023-10-01"" ! -newermt ""2023-11-01"" -exec mv {} 2023/october/ \;"
Move all PNG files from october 2023 to 2023/october/,"mkdir -p 2023/october && find . -type f -iname ""*.png"" -newermt ""2023-10-01"" ! -newermt ""2023-11-01"" -exec mv {} 2023/october/ \;"
Move all MP4 files from october 2023 to 2023/october/,"mkdir -p 2023/october && find . -type f -iname ""*.mp4"" -newermt ""2023-10-01"" ! -newermt ""2023-11-01"" -exec mv {} 2023/october/ \;"
Move all MOV files from october 2023 to 2023/october/,"mkdir -p 2023/october && find . -type f -iname ""*.mov"" -newermt ""2023-10-01"" ! -newermt ""2023-11-01"" -exec mv {} 2023/october/ \;"
Move all JPG files from november 2023 to 2023/november/,"mkdir -p 2023/november && find . -type f -iname ""*.jpg"" -newermt ""2023-11-01"" ! -newermt ""2023-12-01"" -exec mv {} 2023/november/ \;"
Move all JPEG files from november 2023 to 2023/november/,"mkdir -p 2023/november && find . -type f -iname ""*.jpeg"" -newermt ""2023-11-01"" ! -newermt ""2023-12-01"" -exec mv {} 2023/november/ \;"
Move all PNG files from november 2023 to 2023/november/,"mkdir -p 2023/november && find . -type f -iname ""*.png"" -newermt ""2023-11-01"" ! -newermt ""2023-12-01"" -exec mv {} 2023/november/ \;"
Move all MP4 files from november 2023 to 2023/november/,"mkdir -p 2023/november && find . -type f -iname ""*.mp4"" -newermt ""2023-11-01"" ! -newermt ""2023-12-01"" -exec mv {} 2023/november/ \;"
Move all MOV files from november 2023 to 2023/november/,"mkdir -p 2023/november && find . -type f -iname ""*.mov"" -newermt ""2023-11-01"" ! -newermt ""2023-12-01"" -exec mv {} 2023/november/ \;"
Move all JPG files from december 2023 to 2023/december/,"mkdir -p 2023/december && find . -type f -iname ""*.jpg"" -newermt ""2023-12-01"" ! -newermt ""2024-01-01"" -exec mv {} 2023/december/ \;"
